time,Obj1,Obj2,Obj3,
2024-05-08 15:29:31:295,AheadCar_0_0 x=333238.0625 y=426029.0 z=137.725998,SidewaysCar_0_0 x=335219.71875 y=429355.71875 z=104.596001,
2024-05-08 15:29:31:320,AheadCar_0_0 x=333211.125 y=425997.34375 z=137.718994,SidewaysCar_0_0 x=335202.4375 y=429332.90625 z=105.158997,
2024-05-08 15:29:31:345,AheadCar_0_0 x=333211.125 y=425997.34375 z=137.718994,SidewaysCar_0_0 x=335202.4375 y=429332.90625 z=105.158997,
2024-05-08 15:29:31:370,AheadCar_0_0 x=333182.375 y=425963.53125 z=137.712006,SidewaysCar_0_0 x=335183.71875 y=429308.15625 z=105.746002,
2024-05-08 15:29:31:395,AheadCar_0_0 x=333155.0 y=425931.40625 z=137.705002,SidewaysCar_0_0 x=335165.6875 y=429284.375 z=106.119003,
2024-05-08 15:29:31:420,AheadCar_0_0 x=333131.59375 y=425903.84375 z=137.697998,SidewaysCar_0_0 x=335149.875 y=429263.46875 z=106.567001,
2024-05-08 15:29:31:445,AheadCar_0_0 x=333104.9375 y=425872.53125 z=137.690994,SidewaysCar_0_0 x=335131.625 y=429239.375 z=107.162003,
2024-05-08 15:29:31:470,AheadCar_0_0 x=333079.75 y=425843.0 z=137.684006,SidewaysCar_0_0 x=335114.15625 y=429216.25 z=107.732002,
2024-05-08 15:29:31:495,AheadCar_0_0 x=333053.875 y=425812.625 z=137.677002,SidewaysCar_0_0 x=335095.9375 y=429192.1875 z=108.319,
2024-05-08 15:29:31:520,AheadCar_0_0 x=333029.1875 y=425783.65625 z=137.677002,SidewaysCar_0_0 x=335078.375 y=429168.96875 z=108.682999,
2024-05-08 15:29:31:545,AheadCar_0_0 x=333002.3125 y=425752.125 z=137.690002,SidewaysCar_0_0 x=335058.96875 y=429143.3125 z=109.085999,
