time,Obj1,Obj2,Obj3,
2024-05-08 15:29:16:009,
2024-05-08 15:29:16:033,
2024-05-08 15:29:16:058,
2024-05-08 15:29:16:083,
2024-05-08 15:29:16:111,
2024-05-08 15:29:18:756,id=386496144C781D77536130A25FC15593_0 x=331814.122924 y=423486.718428 z=233.961573,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331703.102978 y=423336.7503 z=231.202892,
2024-05-08 15:29:18:780,id=386496144C781D77536130A25FC15593_0 x=331813.641316 y=423487.06386 z=233.976575,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331702.647356 y=423337.129128 z=231.21901,
2024-05-08 15:29:18:806,id=386496144C781D77536130A25FC15593_0 x=331813.123047 y=423487.435587 z=233.992716,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331702.15705 y=423337.536795 z=231.236352,
2024-05-08 15:29:18:833,id=386496144C781D77536130A25FC15593_0 x=331812.56899 y=423487.832984 z=234.009966,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331701.632889 y=423337.972609 z=231.254892,
2024-05-08 15:29:18:858,id=386496144C781D77536130A25FC15593_0 x=331812.06614 y=423488.193651 z=234.025621,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331701.15717 y=423338.368147 z=231.271713,
2024-05-08 15:29:18:883,id=386496144C781D77536130A25FC15593_0 x=331811.568797 y=423488.55037 z=234.041107,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331700.686658 y=423338.759356 z=231.28836,
2024-05-08 15:29:18:909,id=386496144C781D77536130A25FC15593_0 x=331811.042817 y=423488.927627 z=234.057482,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331700.189058 y=423339.173087 z=231.305961,
2024-05-08 15:29:18:934,id=386496144C781D77536130A25FC15593_0 x=331810.51976 y=423489.302789 z=234.073768,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331699.694225 y=423339.584518 z=231.323458,
2024-05-08 15:29:18:957,id=386496144C781D77536130A25FC15593_0 x=331810.053055 y=423489.637532 z=234.088299,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331699.252701 y=423339.951623 z=231.339071,
2024-05-08 15:29:18:985,id=386496144C781D77536130A25FC15593_0 x=331809.500646 y=423490.033746 z=234.105499,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331698.7301 y=423340.386142 z=231.357553,
2024-05-08 15:29:19:008,id=386496144C781D77536130A25FC15593_0 x=331808.994086 y=423490.397075 z=234.121269,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331698.250876 y=423340.784594 z=231.374513,
2024-05-08 15:29:19:034,id=386496144C781D77536130A25FC15593_0 x=331808.475116 y=423490.769305 z=234.13743,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331697.759892 y=423341.192824 z=231.391874,
2024-05-08 15:29:19:060,id=386496144C781D77536130A25FC15593_0 x=331807.969514 y=423491.131947 z=234.153177,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331697.281582 y=423341.590516 z=231.408795,
